"year","avg_days_to_contain"
1992,0.438292830258817
1993,0.3476640159045726
1994,0.7192581726739312
1995,0.3711509112128557
1996,0.5166469460198294
1997,0.5524442507445341
1998,0.6914353354461797
1999,0.7454392628105349
2000,0.9932059017390863
2001,0.6257246559459596
2002,0.826315228399339
2003,1.1931443834396795
2004,0.8799629705821848
2005,1.0948613189089653
2006,1.0811799001926972
2007,1.1291823224190374
2008,1.497312791114296
2009,1.6511877268228308
2010,1.1846854843481862
2011,0.7436217258192539
2012,1.019878137601478
2013,1.1120662460567823
2014,2.393982724971498
2015,1.1068699834322573
